timestamp,太阳总辐照度,直接法向辐照度,全球水平辐照度,温度,气压,小时,日子,月份,季节,target
2019/1/1 10:30,33.32,24.04,20.5,-12.79,872.18,0,1,1,1,7.28
2019/1/1 10:45,64.77,46.73,41.97,-11.99,872.25,0.25,1,1,1,11.09
2019/1/1 11:00,86.91,62.7,58.2,-11.14,872.24,0.5,1,1,1,12.62
2019/1/1 11:15,106.44,76.8,72.71,-10.14,872.09,0.75,1,1,1,17.95
2019/1/1 11:30,142.05,102.49,97.41,-9.26,871.72,1,1,1,1,31.22
2019/1/1 11:45,206.83,149.23,141.49,-8.38,871.46,1.25,1,1,1,43.71
2019/1/1 12:00,243.83,175.92,167.07,-7.12,871.08,1.5,1,1,1,51.81
2019/1/1 12:15,210.9,152.16,190.26,-6.09,870.61,1.75,1,1,1,59.6
2019/1/1 12:30,328.75,237.2,176.47,-5.14,870.09,2,1,1,1,63.07
2019/1/1 12:45,291.77,210.51,198.99,-4.79,869.69,2.25,1,1,1,65.01
2019/1/1 13:00,398.64,287.62,281.22,-4.38,869.3,2.5,1,1,1,77.77
2019/1/1 13:15,409.67,295.58,292.04,-3.99,869.02,2.75,1,1,1,80.22
2019/1/1 13:30,414.97,299.4,299.4,-3.79,868.67,3,1,1,1,82.79
2019/1/1 13:45,427.77,308.64,309.09,-3.59,868.35,3.25,1,1,1,85.34
2019/1/1 14:00,442.39,319.18,319.39,-3.25,867.92,3.5,1,1,1,87.03
2019/1/1 14:15,453.83,327.44,326.93,-3.05,867.81,3.75,1,1,1,87.74
2019/1/1 14:30,459.5,331.53,331.36,-3.1,867.57,4,1,1,1,87.88
2019/1/1 14:45,457.36,329.99,330.66,-2.64,867.43,4.25,1,1,1,85.96
2019/1/1 15:00,451.74,325.93,326.2,-2.27,867.28,4.5,1,1,1,84.28
2019/1/1 15:15,445.45,321.39,320.58,-1.8,866.9,4.75,1,1,1,81.61
2019/1/1 15:30,434.28,313.33,312.2,-2.11,866.8,5,1,1,1,80.28
2019/1/1 15:45,425.62,307.08,306.21,-1.26,866.44,5.25,1,1,1,77.61
2019/1/1 16:00,402.05,290.08,288.85,-1.09,866.1,5.5,1,1,1,74.04
2019/1/1 16:15,388.11,280.02,276.76,-1.23,865.96,5.75,1,1,1,70.25
2019/1/1 16:30,361.03,260.49,255.49,-0.82,865.75,6,1,1,1,64.83
2019/1/2 10:30,34.56,24.94,20.29,-10.18,867.11,0,2,1,1,6.64
2019/1/2 10:45,68.91,49.72,39.97,-9.57,867.24,0.25,2,1,1,14.28
2019/1/2 11:00,128.33,92.59,77.4,-9.28,867.21,0.5,2,1,1,21.7
2019/1/2 11:15,194.88,140.61,121.99,-8.99,867.12,0.75,2,1,1,28.15
2019/1/2 11:30,207.95,150.03,133.01,-8.47,867.05,1,2,1,1,35.69
2019/1/2 11:45,241.29,174.09,156.4,-7.67,866.83,1.25,2,1,1,42.92
2019/1/2 12:00,279.36,201.56,181.88,-6.88,866.73,1.5,2,1,1,53.07
2019/1/2 12:15,292.45,211,218.63,-6.15,866.57,1.75,2,1,1,63.28
